ファイル名 ,ファイル容量 ,年度 ,測地系 ,地域 
P13-11_01_GML.zip ,0.50MB ,平成23年 ,世界測地系 ,北海道 
P13-11_02_GML.zip ,0.06MB ,平成23年 ,世界測地系 ,青森 
P13-11_03_GML.zip ,0.08MB ,平成23年 ,世界測地系 ,岩手 
P13-11_04_GML.zip ,0.17MB ,平成23年 ,世界測地系 ,宮城 
P13-11_05_GML.zip ,0.04MB ,平成23年 ,世界測地系 ,秋田 
P13-11_06_GML.zip ,0.05MB ,平成23年 ,世界測地系 ,山形 
P13-11_07_GML.zip ,0.07MB ,平成23年 ,世界測地系 ,福島 
P13-11_08_GML.zip ,0.11MB ,平成23年 ,世界測地系 ,茨城 
P13-11_09_GML.zip ,0.11MB ,平成23年 ,世界測地系 ,栃木 
P13-11_10_GML.zip ,0.09MB ,平成23年 ,世界測地系 ,群馬 
P13-11_11_GML.zip ,0.24MB ,平成23年 ,世界測地系 ,埼玉 
P13-11_12_GML.zip ,0.37MB ,平成23年 ,世界測地系 ,千葉 
P13-11_13_GML.zip ,0.43MB ,平成23年 ,世界測地系 ,東京 
P13-11_14_GML.zip ,0.39MB ,平成23年 ,世界測地系 ,神奈川 
P13-11_15_GML.zip ,0.15MB ,平成23年 ,世界測地系 ,新潟 
P13-11_16_GML.zip ,0.12MB ,平成23年 ,世界測地系 ,富山 
P13-11_17_GML.zip ,0.06MB ,平成23年 ,世界測地系 ,石川 
P13-11_18_GML.zip ,0.05MB ,平成23年 ,世界測地系 ,福井 
P13-11_19_GML.zip ,0.02MB ,平成23年 ,世界測地系 ,山梨 
P13-11_20_GML.zip ,0.06MB ,平成23年 ,世界測地系 ,長野 
P13-11_21_GML.zip ,0.08MB ,平成23年 ,世界測地系 ,岐阜 
P13-11_22_GML.zip ,0.14MB ,平成23年 ,世界測地系 ,静岡 
P13-11_23_GML.zip ,0.27MB ,平成23年 ,世界測地系 ,愛知 
P13-11_24_GML.zip ,0.13MB ,平成23年 ,世界測地系 ,三重 
P13-11_25_GML.zip ,0.04MB ,平成23年 ,世界測地系 ,滋賀 
P13-11_26_GML.zip ,0.12MB ,平成23年 ,世界測地系 ,京都 
P13-11_27_GML.zip ,0.35MB ,平成23年 ,世界測地系 ,大阪 
P13-11_28_GML.zip ,0.30MB ,平成23年 ,世界測地系 ,兵庫 
P13-11_29_GML.zip ,0.13MB ,平成23年 ,世界測地系 ,奈良 
P13-11_30_GML.zip ,0.02MB ,平成23年 ,世界測地系 ,和歌山 
P13-11_31_GML.zip ,0.03MB ,平成23年 ,世界測地系 ,鳥取 
P13-11_32_GML.zip ,0.02MB ,平成23年 ,世界測地系 ,島根 
P13-11_33_GML.zip ,0.08MB ,平成23年 ,世界測地系 ,岡山 
P13-11_34_GML.zip ,0.16MB ,平成23年 ,世界測地系 ,広島 
P13-11_35_GML.zip ,0.07MB ,平成23年 ,世界測地系 ,山口 
P13-11_36_GML.zip ,0.02MB ,平成23年 ,世界測地系 ,徳島 
P13-11_37_GML.zip ,0.03MB ,平成23年 ,世界測地系 ,香川 
P13-11_38_GML.zip ,0.04MB ,平成23年 ,世界測地系 ,愛媛 
P13-11_39_GML.zip ,0.05MB ,平成23年 ,世界測地系 ,高知 
P13-11_40_GML.zip ,0.33MB ,平成23年 ,世界測地系 ,福岡 
P13-11_41_GML.zip ,0.02MB ,平成23年 ,世界測地系 ,佐賀 
P13-11_42_GML.zip ,0.08MB ,平成23年 ,世界測地系 ,長崎 
P13-11_43_GML.zip ,0.11MB ,平成23年 ,世界測地系 ,熊本 
P13-11_44_GML.zip ,0.07MB ,平成23年 ,世界測地系 ,大分 
P13-11_45_GML.zip ,0.07MB ,平成23年 ,世界測地系 ,宮崎 
P13-11_46_GML.zip ,0.09MB ,平成23年 ,世界測地系 ,鹿児島 
P13-11_47_GML.zip ,0.06MB ,平成23年 ,世界測地系 ,沖縄 
